,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,full_name,field,truncated_field,band,chip,coadd_path,ecsv_path,discoverydate,EXPTIMEE,DITHTYP,DITHRAD,DITH_REP,NINT,ROTOFF,RA,DEC,psfS_CM,aperS_CM,autoS_CM,Radius,SNR,Elongation,Distance,Separation,Survey_Crsmtch,Survey Crsmtch,aperMag,autoMag,aperMag_Err,psfMag_Err,autoME_CM,apMag,psfMag,Mag_Err_Crsmtch,Mag_Err,apMag2,psfME_CM,Mag,apMag_Err,aperME_CM,apMag2_Err,autoMag_Err,field_date,days_since_discovery,role,ref_coadd_path,ref_field,ref_chip,ref_autoMag,ref_autoMag_Err,ref_psfMag,ref_psfMag_Err,ref_aperMag,ref_aperMag_Err,ref_days_since_discovery,ref_autoS_CM,ref_psfS_CM,ref_aperS_CM,objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified,status,edge,px_from_edge,mag_dif,sci_ref_dif,average_sci_mag,b,sfft_diff,diff_cat,sci_rms,ref_rms,diff_rms,sci_fwhm,ref_fwhm,sci_cat_len,ref_cat_len,diff_cat_len,bogus,RA_ref,DEC_ref,psfS_CM_ref,aperS_CM_ref,autoS_CM_ref,Radius_ref,SNR_ref,Elongation_ref,Distance_ref,Separation_ref,autoMag_Err_ref,psfMag_Err_ref,aperME_CM_ref,autoMag_ref,psfME_CM_ref,psfMag_ref,aperMag_ref,aperMag_Err_ref,autoME_CM_ref,diff_distance
0,0,0,12,12,AT2025adpt,field7095-2025-11-13,field7095,J,C2,/mnt/photometry/AT2025adpt/field7095-2025-11-13/J/stack/coadd.Open-J.03185765-03185864.C2.fits,/mnt/photometry/AT2025adpt/field7095-2025-11-13/J/stack/GRB_J_C2_Data_VIKING_03185864.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,0.96106,-33.20463,2.0,1.0,2.0,1.35,19.2,1.206,3.05151,0.27013,,,18.851,18.358,0.076,0.062,0.497,,18.657,,,,0.197,,,0.004,,0.09,2025-11-13,-1,sci,['/mnt/photometry/AT2025adpt/field7095-2025-11-17/J/stack/coadd.Open-J.03200535-03200634.C2.fits'],['field7095-2025-11-17'],['C2'],[18.369],[0.113],[18.126],[0.191],[18.767],[0.114],[3],[2.0],[2.0],[1.0],192773,AT,2025adpt,0.961726099,-33.20527461,,,,135.0,GW-MMADS,135.0,GW-MMADS,21.3774,21.0,g,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,T202511140003508m331219,2025TNSTR4589....1H,,11/15/25 22:00,11/15/25 22:00,,False,647.3466158659608,0.2989999999999995,0.0365000000000002,18.6045,-77.74933985712757,/mnt/photometry/AT2025adpt/07-21_1784599556.3760352.sfftdiff.fits,/mnt/photometry/AT2025adpt/07-21_1784599556.3760352.sfftdiff.fits.cat,1.85387530503273,1.778044963145256,1.1000392470002174,2.740000009536743,3.2239999771118164,5493.0,6967.0,15486.0,0,,,,,,,,,,,,,,,,,,,,3.599
1,1,1,17,17,AT2025admo,field4659-2025-11-13,field4659,J,C4,/mnt/photometry/AT2025admo/field4659-2025-11-13/J/stack/coadd.Open-J.03186865-03186964.C4.fits,/mnt/photometry/AT2025admo/field4659-2025-11-13/J/stack/GRB_J_C4_Data_VHS_03186964.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,13.87475,-44.80094,1.0,1.0,2.0,2.41,18.13,2.486,2.24167,0.75832,,,18.921,17.642,0.1,0.152,1.321,,18.75,,,,0.212,,,0.042,,0.09,2025-11-13,-1,sci,['/mnt/photometry/AT2025admo/field4659-2025-11-17/J/stack/coadd.Open-J.03201635-03201734.C4.fits'],['field4659-2025-11-17'],['C4'],[18.368],[0.14],[18.839],[0.166],[18.784],[0.123],[3],[2.0],[1.0],[1.0],192690,AT,2025admo,13.87394915,-44.80119991,,,,135.0,GW-MMADS,135.0,GW-MMADS,22.2291,23.0,i,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,C202511140055297m444804,2025TNSTR4589....1H,,11/15/25 21:59,11/15/25 21:59,,True,301.24652185554805,1.1080000000000003,-0.2944999999999993,18.2815,-72.17874541758343,/mnt/photometry/AT2025admo/07-21_1784585521.166345.sfftdiff.fits,/mnt/photometry/AT2025admo/07-21_1784585521.166345.sfftdiff.fits.cat,1.864466254377365,1.8716164353847504,1.3808120761871336,3.848999977111816,3.046999931335449,2349.0,2575.0,13218.0,0,,,,,,,,,,,,,,,,,,,,3.304
2,2,2,18,18,AT2025admg,field4223-2025-11-13,field4223,J,C2,/mnt/photometry/AT2025admg/field4223-2025-11-13/J/stack/coadd.Open-J.03185875-03185974.C2.fits,/mnt/photometry/AT2025admg/field4223-2025-11-13/J/stack/GRB_J_C2_Data_VHS_03185974.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,17.6638,-46.92214,1.0,1.0,2.0,1.58,22.73,1.367,0.24058,0.24359,,,18.551,17.952,0.064,0.117,0.575,,18.554,,,,-0.028,,,-0.024,,0.084,2025-11-13,-1,sci,['/mnt/photometry/AT2025admg/field4223-2025-11-17/J/stack/coadd.Open-J.03200645-03200744.C2.fits'],['field4223-2025-11-17'],['C2'],[17.97],[0.116],[18.407],[0.215],[18.333],[0.097],[3],[2.0],[1.0],[1.0],192682,AT,2025admg,17.66380353,-46.92206894,,,,135.0,GW-MMADS,135.0,GW-MMADS,22.9857,21.0,g,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,C202511140110393m465519,2025TNSTR4589....1H,,11/15/25 21:59,11/15/25 21:59,,False,662.2695270104791,0.6019999999999968,0.1000000000000014,18.2515,-69.75609434473559,/mnt/photometry/AT2025admg/07-21_1784602563.318178.sfftdiff.fits,/mnt/photometry/AT2025admg/07-21_1784602563.318178.sfftdiff.fits.cat,1.9238663442134856,1.738269872045517,1.07676793166399,2.9760000705718994,3.492000102996826,2293.0,6320.0,10246.0,0,,,,,,,,,,,,,,,,,,,,2.769
3,3,3,21,21,AT2025adkp,field5349-2025-11-17,field5349,J,C1,/mnt/photometry/AT2025adkp/field5349-2025-11-17/J/stack/coadd.Open-J.03204165-03204264.C1.fits,/mnt/photometry/AT2025adkp/field5349-2025-11-17/J/stack/GRB_J_C1_Data_VHS_03204264.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,11.88779,-40.84169,2.0,2.0,2.0,1.6,54.35,1.764,1.99147,0.23333,,,17.393,16.816,0.028,0.026,0.677,,17.277,,,,0.216,,,0.1,,0.024,2025-11-17,3,sci,['/mnt/photometry/AT2025adkp/field5349-2025-11-13/J/stack/coadd.Open-J.03189487-03189586.C1.fits'],['field5349-2025-11-13'],['C1'],[16.873],[0.023],[17.284],[0.024],[17.409],[0.028],[-1],[2.0],[2.0],[1.0],192639,AT,2025adkp,11.88793612,-40.84114843,,,,135.0,GW-MMADS,135.0,GW-MMADS,20.9182,21.0,g,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 0:42,T202511140047331m405028,2025TNSTR4589....1H,,11/15/25 0:42,11/15/25 0:42,,False,1028.7352623346278,0.4610000000000021,-0.0365000000000002,17.1045,-76.10647985446751,/mnt/photometry/AT2025adkp/07-21_1784594352.7973356.sfftdiff.fits,/mnt/photometry/AT2025adkp/07-21_1784594352.7973356.sfftdiff.fits.cat,1.6796308233261108,1.3242919596433638,1.3349299217462538,3.062000036239624,3.174999952316284,2414.0,3651.0,11448.0,0,,,,,,,,,,,,,,,,,,,,2.583
4,4,4,26,26,AT2025adju,field3217-2025-11-13,field3217,J,C2,/mnt/photometry/AT2025adju/field3217-2025-11-13/J/stack/coadd.Open-J.03189157-03189256.C2.fits,/mnt/photometry/AT2025adju/field3217-2025-11-13/J/stack/GRB_J_C2_Data_VHS_03189256.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,32.70662,-52.28347,0.0,0.0,0.0,1.11,27.58,1.279,0.19695,-1.0,,,18.453,18.285,0.047,0.118,99.0,,18.658,,,,99.0,,,99.0,,0.06,2025-11-13,-1,sci,['/mnt/photometry/AT2025adju/field3217-2025-11-17/J/stack/coadd.Open-J.03203835-03203934.C2.fits'],['field3217-2025-11-17'],['C2'],[18.352],[0.08],[19.028],[0.125],[18.6],[0.059],[3],[0.0],[0.0],[0.0],192618,AT,2025adju,32.70662275,-52.28341256,,,,135.0,GW-MMADS,135.0,GW-MMADS,21.1807,21.0,g,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 0:42,A202511140210496m521700,2025TNSTR4589....1H,,11/15/25 0:42,11/15/25 0:42,,False,1316.7108369154362,0.3730000000000011,-0.1070000000000011,18.369,-60.782946662343,/mnt/photometry/AT2025adju/07-21_1784589030.5637805.sfftdiff.fits,/mnt/photometry/AT2025adju/07-21_1784589030.5637805.sfftdiff.fits.cat,1.5009335618019104,1.7511193779230116,1.205082362473011,2.813999891281128,3.04099988937378,7032.0,3750.0,13005.0,0,,,,,,,,,,,,,,,,,,,,1.158
5,5,5,31,31,AT2025aamc,field7653-2025-10-13,field7653,J,C1,/mnt/photometry/AT2025aamc/field7653-2025-10-13/J/stack/coadd.Open-J.03081438-03081474.C1.fits,/mnt/photometry/AT2025aamc/field7653-2025-10-13/J/stack/GRB_J_C1_Data_VIKING_03081474.ecsv,2025-10-12,8.58,Circle,60.0,1,10,48.0,31.96365,-30.78506,0.0,0.0,0.0,1.17,5.72,1.584,0.09379,-1.0,,,19.636,19.808,0.207,0.176,99.0,,19.756,,,,99.0,,,99.0,,0.183,2025-10-13,1,sci,['/mnt/photometry/AT2025aamc/field7653-2025-11-19/J/stack/coadd.Open-J.03210553-03210589.C1.fits'],['field7653-2025-11-19'],['C1'],[nan],[nan],[nan],[nan],[nan],[nan],[38],[nan],[nan],[nan],190549,AT,2025aamc,31.96365231,-30.78503077,,,,18.0,ATLAS,18.0,ATLAS,18.905,72.0,orange,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), M. R. Alarcón, J. Licandro, P. Nichita (IAC), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill, P. J. Broda (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",10/14/25 23:32,"ATLAS25mpf, GOTO25iui",2025TNSTR4112....1T,,10/14/25 23:32,10/14/25 23:32,,False,799.2241831188621,0.0519999999999996,,19.722,-73.14403583259289,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2.595
6,6,6,35,35,AT2025zid,field9331-2025-09-03,field9331,J,C4,/mnt/photometry/AT2025zid/field9331-2025-09-03/J/stack/coadd.Open-J.02943305-02943341.C4.fits,/mnt/photometry/AT2025zid/field9331-2025-09-03/J/stack/GRB_J_C4_Data_VHS_02943341.ecsv,2025-08-29,8.58,Circle,60.0,1,10,48.0,31.59215,-24.72446,1.0,2.0,2.0,1.22,34.81,1.078,0.56525,0.14158,,,18.038,17.48,0.036,0.036,0.686,,18.143,,,,0.023,,,0.128,,0.052,2025-09-03,5,sci,['/mnt/photometry/AT2025zid/field9331-2025-09-13/J/stack/coadd.Open-J.02983148-02983184.C4.fits'],['field9331-2025-09-13'],['C4'],[17.51],[0.044],[18.139],[0.038],[18.01],[0.035],[15],[2.0],[1.0],[2.0],189767,AT,2025zid,31.5923171,-24.7244921,,,,48.0,ZTF,48.0,ZTF,20.0893,110.0,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",10/1/25 12:55,ZTF25abmydre,2025TNSTR3950....1S,,10/1/25 12:55,10/1/25 12:55,,False,900.2474466895219,0.6630000000000003,-0.0010000000000012,17.759,-73.29117516443712,/mnt/photometry/AT2025zid/07-21_1784598415.1192298.sfftdiff.fits,/mnt/photometry/AT2025zid/07-21_1784598415.1192298.sfftdiff.fits.cat,3.041494637060165,3.114907003211975,2.28566910867691,2.4760000705718994,2.365000009536743,2387.0,10524.0,14498.0,0,,,,,,,,,,,,,,,,,,,,1.341
7,7,7,37,37,AT2025ykf,field11089-2025-08-06,field11089,J,C2,/mnt/photometry/AT2025ykf/field11089-2025-08-06/J/stack/coadd.Open-J.02806274-02806310.C2.fits,/mnt/photometry/AT2025ykf/field11089-2025-08-06/J/stack/GRB_J_C2_Data_2MASS_02806310.ecsv,2025-08-25,8.58,Circle,60.0,1,10,48.0,17.53755,-16.85252,2.0,2.0,2.0,3.07,475.62,1.194,2.98597,1.44442,,,14.54,12.823,0.006,0.034,1.251,,14.447,,,,-0.373,,,-0.466,,0.005,2025-08-06,-19,sci,['/mnt/photometry/AT2025ykf/field11089-2025-12-13/J/stack/coadd.Open-J.03287650-03287686.C2.fits'],['field11089-2025-12-13'],['C2'],[12.881],[0.005],[15.741],[0.078],[14.636],[0.008],[110],[2.0],[2.0],[2.0],189128,AT,2025ykf,17.5366934,-16.8523998,,,,48.0,ZTF,48.0,ZTF,19.481,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",9/24/25 10:28,ZTF25abruqtr,2025TNSTR3850....1S,,9/24/25 10:28,9/24/25 10:28,,False,622.2206810318467,1.6239999999999988,-0.0769999999999999,13.6815,-79.09202256159801,/mnt/photometry/AT2025ykf/07-21_1784590771.1352596.sfftdiff.fits,/mnt/photometry/AT2025ykf/07-21_1784590771.1352596.sfftdiff.fits.cat,2.168284967422485,3.1619939921379085,3.7116714034080505,2.196000099182129,2.134000062942505,12104.0,15118.0,20402.0,0,,,,,,,,,,,,,,,,,,,,2.61
8,8,8,41,41,AT2025wog,field16066-2025-08-17,field16066,J,C4,/mnt/photometry/AT2025wog/field16066-2025-08-17/J/stack/coadd.Open-J.02858726-02858762.C4.fits,/mnt/photometry/AT2025wog/field16066-2025-08-17/J/stack/GRB_J_C4_Data_VHS_02858762.ecsv,2025-09-01,8.58,Circle,60.0,1,10,48.0,10.69493,0.30044,2.0,2.0,2.0,2.19,172.21,1.245,0.54442,0.04729,,,15.995,14.913,0.009,0.029,1.211,,15.956,,,,0.169,,,0.129,,0.01,2025-08-17,-15,sci,"['/mnt/photometry/AT2025wog/field16066-2025-12-14/J/stack/coadd.Open-J.03291310-03291346.C4.fits', '/mnt/photometry/AT2025wog/field16066-2025-12-17/J/stack/coadd.Open-J.03303794-03303830.C4.fits']","['field16066-2025-12-14', 'field16066-2025-12-17']","['C4', 'C4']","[14.884, 14.813]","[0.013, 0.016]","[15.905, 15.894]","[0.024, 0.051]","[16.012, 15.93]","[0.011, 0.016]","[104, 107]","[2.0, 2.0]","[2.0, 2.0]","[2.0, 2.0]",187819,AT,2025wog,10.69480719,0.300350807,,,,139.0,LAST,139.0,LAST,18.9,1.0,Clear,"E. O. Ofek (WIS), R. Konno (WIS), E. A. Zimmerman (WIS), A. Horowicz (WIS), S. Garrappa (WIS), S. Ben-Ami (WIS), D. Polishook (WIS), O. Yaron (WIS), P. Chen (WIS), A. Krassilchtchikov (WIS), Y. M. Shani (WIS), E. Segre (WIS), A. Gal-Yam (WIS), S. Spitzer (WIS), and K. Rybicki (WIS) on behalf of the LAST Collaboration",9/1/25 10:15,,2025TNSTR3499....1O,,9/1/25 10:15,9/1/25 10:15,,False,729.5650664210921,1.0429999999999993,0.044249999999999,15.454,-62.608871651043806,/mnt/photometry/AT2025wog/07-21_1784599986.9280233.sfftdiff.fits,/mnt/photometry/AT2025wog/07-21_1784599986.9280233.sfftdiff.fits.cat,3.1783530180931088,3.598001623535156,4.651992669153214,3.138999938964844,2.486000061035156,857.0,6079.0,20149.0,0,,,,,,,,,,,,,,,,,,,,1.278
9,9,9,42,42,AT2025whd,field11097-2025-08-06,field11097,J,C2,/mnt/photometry/AT2025whd/field11097-2025-08-06/J/stack/coadd.Open-J.02806594-02806630.C2.fits,/mnt/photometry/AT2025whd/field11097-2025-08-06/J/stack/GRB_J_C2_Data_2MASS_02806630.ecsv,2025-08-25,8.58,Circle,60.0,1,10,48.0,26.89538,-17.29208,3.0,3.0,3.0,1.39,37.43,2.373,0.82301,-1.0,,,18.111,17.374,0.037,0.052,99.0,,18.379,,,,99.0,,,99.0,,0.036,2025-08-06,-19,sci,['/mnt/photometry/AT2025whd/field11097-2025-12-13/J/stack/coadd.Open-J.03287730-03287766.C2.fits'],['field11097-2025-12-13'],['C2'],[17.377],[0.068],[18.618],[0.147],[18.125],[0.053],[110],[3.0],[3.0],[3.0],187632,AT,2025whd,26.89560647,-17.29200033,,,,74.0,ALeRCE,48.0,ZTF,20.3476,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, S. Jurado, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, F. Andrades, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",8/29/25 20:39,"ZTF25abmdmzv, ATLAS25kvh",2025TNSTR3430....1M,,8/29/25 20:39,8/29/25 20:39,,False,823.0567022746939,1.0050000000000026,-0.0084999999999997,17.7425,-74.03773579535365,/mnt/photometry/AT2025whd/07-21_1784597615.468152.sfftdiff.fits,/mnt/photometry/AT2025whd/07-21_1784597615.468152.sfftdiff.fits.cat,2.3201268093824385,3.086632540655136,3.755202743196487,2.219000101089477,1.9170000553131104,7160.0,2157.0,23311.0,0,,,,,,,,,,,,,,,,,,,,0.436
10,10,10,43,43,AT2025vmj,field10497-2025-09-02,field10497,J,C1,/mnt/photometry/AT2025vmj/field10497-2025-09-02/J/stack/coadd.Open-J.02937261-02937297.C1.fits,/mnt/photometry/AT2025vmj/field10497-2025-09-02/J/stack/GRB_J_C1_Data_VHS_02937297.ecsv,2025-08-17,8.58,Circle,60.0,1,10,48.0,24.34695,-19.41145,2.0,2.0,2.0,2.26,60.93,1.415,0.42371,0.31874,,,17.533,16.49,0.029,0.025,1.324,,17.341,,,,0.473,,,0.282,,0.029,2025-09-02,16,sci,['/mnt/photometry/AT2025vmj/field10497-2025-12-13/J/stack/coadd.Open-J.03287470-03287506.C1.fits'],['field10497-2025-12-13'],['C1'],[16.534],[0.035],[17.752],[0.039],[17.671],[0.028],[118],[2.0],[1.0],[2.0],187084,AT,2025vmj,24.3470288,-19.4113589,,,,48.0,ZTF,48.0,ZTF,20.0184,110.0,g,"Daniel Perley (LJMU), Christoffer Fremling (Caltech), Theophile du Laz (Caltech) on behalf of ZTF",8/26/25 11:29,ZTF21absjxqc,2025TNSTR3380....1P,,8/26/25 11:29,8/26/25 11:29,,False,960.6364454302354,0.8510000000000026,-0.0909999999999993,17.011499999999998,-77.25437187733442,/mnt/photometry/AT2025vmj/07-21_1784589757.3670142.sfftdiff.fits,/mnt/photometry/AT2025vmj/07-21_1784589757.3670142.sfftdiff.fits.cat,2.1458137526750565,2.694698132944107,1.6958838054656982,3.5209999084472656,3.122999906539917,776.0,1460.0,10365.0,0,,,,,,,,,,,,,,,,,,,,0.351
11,11,11,52,52,SN2025tpu,field1811-2025-08-31,field1811,Z,C4,/mnt/photometry/SN2025tpu/field1811-2025-08-31/Z/stack/coadd.Z-Open.02923556-02923601.C4.fits,/mnt/photometry/SN2025tpu/field1811-2025-08-31/Z/stack/GRB_Z_C4_Data_Skymapper_02923601.ecsv,2025-08-12,11.44,Circle,60.0,1,10,48.0,281.91892,-63.16085,0.0,0.0,0.0,1.08,73.81,1.103,0.49083,-1.0,,,16.271,16.266,0.018,0.016,99.0,,16.262,,,,99.0,,,99.0,,0.019,2025-08-31,19,sci,"['/mnt/photometry/SN2025tpu/field1811-2025-09-13/Z/stack/coadd.Z-Open.02981346-02981391.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-08-17/Z/stack/coadd.Z-Open.02857877-02857897.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-09-09/Z/stack/coadd.Z-Open.02963873-02963918.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-08-19/Z/stack/coadd.Z-Open.02871217-02871262.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-08-30/Z/stack/coadd.Z-Open.02916656-02916701.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-09-01/Z/stack/coadd.Z-Open.02929323-02929368.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-09-03/Z/stack/coadd.Z-Open.02941619-02941664.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-08-29/Z/stack/coadd.Z-Open.02909013-02909058.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-08-18/Z/stack/coadd.Z-Open.02864543-02864588.C4.fits', '/mnt/photometry/SN2025tpu/field1811-2025-08-20/Z/stack/coadd.Z-Open.02874953-02874998.C4.fits']","['field1811-2025-09-13', 'field1811-2025-08-17', 'field1811-2025-09-09', 'field1811-2025-08-19', 'field1811-2025-08-30', 'field1811-2025-09-01', 'field1811-2025-09-03', 'field1811-2025-08-29', 'field1811-2025-08-18', 'field1811-2025-08-20']","['C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4']","[nan, 18.085, 16.584, 17.347, 16.304, 16.403, nan, 16.345, 17.468, 17.031]","[nan, 0.103, 0.027, 0.035, 0.019, 0.034, nan, 0.018, 0.038, 0.033]","[nan, 17.904, 16.339, 17.342, 16.303, 16.474, nan, 16.346, 17.459, 17.132]","[nan, 0.071, 0.022, 0.026, 0.019, 0.026, nan, 0.016, 0.029, 0.025]","[nan, 17.945, 16.498, 17.374, 16.292, 16.543, nan, 16.362, 17.505, 17.171]","[nan, 0.071, 0.022, 0.028, 0.018, 0.026, nan, 0.016, 0.031, 0.026]","[32, 5, 28, 7, 18, 20, 22, 17, 6, 8]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0]",185818,SN,2025tpu,281.918767,-63.160972,0.015,13.0,SN IIn,60.0,BlackGEM,60.0,BlackGEM,19.25,118.0,BG-q,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",8/12/25 8:40,"BGEM J184740.50-630939.4, ATLAS25jhf, GOTO25ger, MASTER OT J184740.60-630939.0, MASTER OT J184740.64-630939.3",2025TNSTR3159....1G,2025TNSCR3202....1v,8/12/25 8:42,8/14/25 6:38,,False,1754.475000022463,0.0039999999999977,-0.685062499999999,16.2685,-23.331391422678468,/mnt/photometry/SN2025tpu/07-21_1784587003.980944.sfftdiff.fits,/mnt/photometry/SN2025tpu/07-21_1784587003.980944.sfftdiff.fits.cat,1.4597996075749395,1.5199804450035097,1.0810949611902236,3.1730000972747803,2.359999895095825,5674.0,6814.0,15186.0,0,,,,,,,,,,,,,,,,,,,,0.738
